x,y,alpha
-116.60430555555929,33.522361111115615,-0.1692275106906891
-116.60430555555929,33.5226388888934,-0.17742562294006348
-116.60430555555929,33.522916666671165,-0.1562779744466146
-116.60430555555929,33.52319444444895,-0.14592051009337106
-116.60430555555929,33.523472222226715,-0.15213657915592194
-116.60430555555929,33.5237500000045,-0.1468595266342163
-116.60430555555929,33.524027777782266,-0.14546407262484232
-116.60430555555929,33.52430555556005,-0.16990753014882407
-116.60430555555929,33.524583333337816,-0.1720127065976461
-116.60430555555929,33.5248611111156,-0.15321637193361917
-116.60430555555929,33.525138888893366,-0.14878142873446146
-116.60430555555929,33.52541666667115,-0.15589343011379242
-116.60430555555929,33.525694444448916,-0.13658626874287924
-116.60430555555929,33.5259722222267,-0.14860188961029053
-116.60430555555929,33.52625000000447,-0.1699692706267039
-116.60430555555929,33.52652777778225,-0.14477039376894632
-116.60430555555929,33.52680555556002,-0.14679387211799622
-116.60430555555929,33.5270833333378,-0.1498942772547404
-116.60430555555929,33.52736111111557,-0.15029803911844888
-116.60402777778151,33.520972222226746,-0.16522416969140372
-116.60402777778151,33.521250000004514,-0.14177154501279196
-116.60402777778151,33.521527777782296,-0.1481421192487081
-116.60402777778151,33.521805555560064,-0.1270593504110972
-116.60402777778151,33.52208333333785,-0.153721421957016
-116.60402777778151,33.522361111115615,-0.17180487513542175
-116.60402777778151,33.5226388888934,-0.16812505821386972
-116.60402777778151,33.522916666671165,-0.14618676900863647
-116.60402777778151,33.52319444444895,-0.14592051009337106
-116.60402777778151,33.523472222226715,-0.15483407179514566
-116.60402777778151,33.5237500000045,-0.1521983096996943
-116.60402777778151,33.524027777782266,-0.1629375418027242
-116.60402777778151,33.52430555556005,-0.1670391708612442
-116.60402777778151,33.524583333337816,-0.13640872140725455
-116.60402777778151,33.5248611111156,-0.14840961496035257
-116.60402777778151,33.525138888893366,-0.16095347702503204
-116.60402777778151,33.52541666667115,-0.1698386917511622
-116.60402777778151,33.525694444448916,-0.14117110768953958
-116.60402777778151,33.5259722222267,-0.1443213919798533
-116.60402777778151,33.52625000000447,-0.13817969461282095
-116.60402777778151,33.52652777778225,-0.13719973464806876
-116.60402777778151,33.52680555556002,-0.14752436677614847
-116.60402777778151,33.5270833333378,-0.1817281941572825
-116.60402777778151,33.52736111111557,-0.1775843401749929
-116.60375000000373,33.520972222226746,-0.15252586702505747
-116.60375000000373,33.521250000004514,-0.16780447463194528
-116.60375000000373,33.521527777782296,-0.18318167328834534
-116.60375000000373,33.521805555560064,-0.16812505821386972
-116.60375000000373,33.52208333333785,-0.153721421957016
-116.60375000000373,33.522361111115615,-0.13292201856772104
-116.60375000000373,33.5226388888934,-0.14536996682484946
-116.60375000000373,33.522916666671165,-0.148307204246521
-116.60375000000373,33.52319444444895,-0.16715422769387564
-116.60375000000373,33.523472222226715,-0.1572014739116033
-116.60375000000373,33.5237500000045,-0.16929900149504343
-116.60375000000373,33.524027777782266,-0.17187992731730142
-116.60375000000373,33.52430555556005,-0.1833562801281611
-116.60375000000373,33.524583333337816,-0.13640872140725455
-116.60375000000373,33.5248611111156,-0.15174788236618042
-116.60375000000373,33.525138888893366,-0.1783906122048696
-116.60375000000373,33.52541666667115,-0.15797730286916098
-116.60375000000373,33.525694444448916,-0.14117110768953958
-116.60375000000373,33.5259722222267,-0.1601844181617101
-116.60375000000373,33.52625000000447,-0.15689937273661295
-116.60375000000373,33.52652777778225,-0.14465299248695374
-116.60375000000373,33.52680555556002,-0.14565240343411764
-116.60375000000373,33.5270833333378,-0.1829054206609726
-116.60375000000373,33.52736111111557,-0.14077228804429373
-116.60375000000373,33.52763888889335,-0.15804089109102884
-116.60347222222596,33.521250000004514,-0.14684621493021646
-116.60347222222596,33.521527777782296,-0.14944769442081451
-116.60347222222596,33.521805555560064,-0.1672856460014979
-116.60347222222596,33.52208333333785,-0.13969081143538156
-116.60347222222596,33.522361111115615,-0.14667672912279764
-116.60347222222596,33.5226388888934,-0.15438953042030334
-116.60347222222596,33.522916666671165,-0.14869736631711325
-116.60347222222596,33.52319444444895,-0.15815527737140656
-116.60347222222596,33.523472222226715,-0.14869736631711325
-116.60347222222596,33.5237500000045,-0.14755597710609436
-116.60347222222596,33.524027777782266,-0.17582201957702637
-116.60347222222596,33.52430555556005,-0.16114611426989237
-116.60347222222596,33.524583333337816,-0.16091109812259674
-116.60347222222596,33.5248611111156,-0.16206475098927817
-116.60347222222596,33.525138888893366,-0.161687433719635
-116.60347222222596,33.52541666667115,-0.16321061054865518
-116.60347222222596,33.525694444448916,-0.1491107940673828
-116.60347222222596,33.5259722222267,-0.1601844181617101
-116.60347222222596,33.52625000000447,-0.15739773213863373
-116.60347222222596,33.52652777778225,-0.16356211404005686
-116.60347222222596,33.52680555556002,-0.1467372477054596
-116.60347222222596,33.5270833333378,-0.180359015862147
-116.60347222222596,33.52736111111557,-0.18532936771710715
-116.60347222222596,33.52763888889335,-0.14338995019594827
-116.60347222222596,33.52791666667112,-0.1390464554230372
-116.60319444444819,33.521250000004514,-0.14684621493021646
-116.60319444444819,33.521527777782296,-0.15638503432273865
-116.60319444444819,33.521805555560064,-0.1561119556427002
-116.60319444444819,33.52208333333785,-0.13535776237646738
-116.60319444444819,33.522361111115615,-0.14667672912279764
-116.60319444444819,33.5226388888934,-0.15146777033805847
-116.60319444444819,33.522916666671165,-0.1553125778834025
-116.60319444444819,33.52319444444895,-0.1484790047009786
-116.60319444444819,33.523472222226715,-0.13861376543839773
-116.60319444444819,33.5237500000045,-0.14755597710609436
-116.60319444444819,33.524027777782266,-0.14940487345059714
-116.60319444444819,33.52430555556005,-0.15116781989733377
-116.60319444444819,33.524583333337816,-0.15606346726417542
-116.60319444444819,33.5248611111156,-0.17457700769106546
-116.60319444444819,33.525138888893366,-0.15130923191706339
-116.60319444444819,33.52541666667115,-0.16486258804798126
-116.60319444444819,33.525694444448916,-0.14837012688318887
-116.60319444444819,33.5259722222267,-0.155423770348231
-116.60319444444819,33.52625000000447,-0.15978536009788513
-116.60319444444819,33.52652777778225,-0.17665247122446695
-116.60319444444819,33.52680555556002,-0.17701613903045654
-116.60319444444819,33.5270833333378,-0.18803202112515768
-116.60319444444819,33.52736111111557,-0.1679514447848002
-116.60319444444819,33.52763888889335,-0.1588354011376699
-116.60319444444819,33.52791666667112,-0.17259114483992258
-116.60291666667041,33.521250000004514,-0.15021127462387085
-116.60291666667041,33.521527777782296,-0.15456046164035797
-116.60291666667041,33.521805555560064,-0.14347939689954123
-116.60291666667041,33.52208333333785,-0.14298313856124878
-116.60291666667041,33.522361111115615,-0.14573989311854044
-116.60291666667041,33.5226388888934,-0.15146777033805847
-116.60291666667041,33.522916666671165,-0.15773621698220572
-116.60291666667041,33.52319444444895,-0.13772697250048319
-116.60291666667041,33.523472222226715,-0.14274577299753824
-116.60291666667041,33.5237500000045,-0.15718119343121847
-116.60291666667041,33.524027777782266,-0.14743790527184805
-116.60291666667041,33.52430555556005,-0.1490734120210012
-116.60291666667041,33.524583333337816,-0.15213814874490103
-116.60291666667041,33.5248611111156,-0.15174788236618042
-116.60291666667041,33.525138888893366,-0.15311301747957864
-116.60291666667041,33.52541666667115,-0.14762707551320395
-116.60291666667041,33.525694444448916,-0.1587900718053182
-116.60291666667041,33.5259722222267,-0.13694192469120026
-116.60291666667041,33.52625000000447,-0.1503675878047943
-116.60291666667041,33.52652777778225,-0.18629702428976694
-116.60291666667041,33.52680555556002,-0.14331073562304178
-116.60291666667041,33.5270833333378,-0.1644724210103353
-116.60291666667041,33.52736111111557,-0.18510793149471283
-116.60291666667041,33.52763888889335,-0.1564364234606425
-116.60291666667041,33.52791666667112,-0.1642238050699234
-116.60291666667041,33.5281944444489,-0.17703221241633096
-116.60263888889263,33.521250000004514,-0.1731901317834854
-116.60263888889263,33.521527777782296,-0.15456046164035797
-116.60263888889263,33.521805555560064,-0.15288470685482025
-116.60263888889263,33.52208333333785,-0.13776331643263498
-116.60263888889263,33.522361111115615,-0.15026742219924927
-116.60263888889263,33.5226388888934,-0.1709938943386078
-116.60263888889263,33.522916666671165,-0.15773621698220572
-116.60263888889263,33.52319444444895,-0.15041219691435495
-116.60263888889263,33.523472222226715,-0.14886700610319772
-116.60263888889263,33.5237500000045,-0.14659148454666138
-116.60263888889263,33.524027777782266,-0.13730468849341074
-116.60263888889263,33.52430555556005,-0.1424284279346466
-116.60263888889263,33.524583333337816,-0.1330572764078776
-116.60263888889263,33.5248611111156,-0.14969595273335776
-116.60263888889263,33.525138888893366,-0.14586744705835977
-116.60263888889263,33.52541666667115,-0.14448495209217072
-116.60263888889263,33.525694444448916,-0.1550739606221517
-116.60263888889263,33.5259722222267,-0.1556568741798401
-116.60263888889263,33.52625000000447,-0.15507588783899942
-116.60263888889263,33.52652777778225,-0.18629702428976694
-116.60263888889263,33.52680555556002,-0.1392895927031835
-116.60263888889263,33.5270833333378,-0.15512068072954813
-116.60263888889263,33.52736111111557,-0.1772258679072062
-116.60236111111486,33.521250000004514,-0.1738529900709788
-116.60236111111486,33.521527777782296,-0.1602326532204946
-116.60236111111486,33.521805555560064,-0.1531969557205836
-116.60236111111486,33.52208333333785,-0.1567758470773697
-116.60236111111486,33.522361111115615,-0.1587900718053182
-116.60236111111486,33.5226388888934,-0.15387873351573944
-116.60236111111486,33.522916666671165,-0.17443657914797464
-116.60236111111486,33.52319444444895,-0.15655306975046793
-116.60236111111486,33.523472222226715,-0.15476996203263602
-116.60236111111486,33.5237500000045,-0.14623174568017325
-116.60236111111486,33.524027777782266,-0.14860853056112924
-116.60236111111486,33.52430555556005,-0.137172669172287
-116.60236111111486,33.524583333337816,-0.13968750834465027
-116.60236111111486,33.5248611111156,-0.13456242283185324
-116.60236111111486,33.525138888893366,-0.1396581530570984
-116.60236111111486,33.52541666667115,-0.1452710231145223
-116.60236111111486,33.525694444448916,-0.1648630698521932
-116.60208333333709,33.521250000004514,-0.14080817997455597
-116.60208333333709,33.521527777782296,-0.15290406346321106
-116.60208333333709,33.521805555560064,-0.15829744935035706
-116.60208333333709,33.52208333333785,-0.16308894753456116
-116.60208333333709,33.522361111115615,-0.15250816941261292
-116.60208333333709,33.5226388888934,-0.15145706137021384
-116.60208333333709,33.522916666671165,-0.15107123057047525
-116.60208333333709,33.52319444444895,-0.15655306975046793
-116.60208333333709,33.523472222226715,-0.14955749114354452
-116.60208333333709,33.5237500000045,-0.15783801674842834
-116.60180555555931,33.521250000004514,-0.15520179271697998
-116.60180555555931,33.521527777782296,-0.14532031615575156
-116.60180555555931,33.521805555560064,-0.14913534124692282
-116.60180555555931,33.52208333333785,-0.14997022350629172
